[2024-05-13 23:12:36,112] {imputation.py:352 } : INFO | |--- IMPUTATION ---|
[2024-05-13 23:12:36,113] {imputation.py:353 } : INFO | Imputation Method: ------------------ IterativeImputer
[2024-05-13 23:12:36,115] {imputation.py:354 } : INFO | Estimator: -------------------------- RandomForestRegressor(max_features='sqrt', n_jobs=7,
                      oob_score=<function r2_score at 0x000001AD001727A0>,
                      random_state=42)
[2024-05-13 23:12:36,116] {imputation.py:355 } : INFO | Estimator criterion: ---------------- squared_error
[2024-05-13 23:12:36,116] {imputation.py:356 } : INFO | Random State (seed): ---------------- 42
[2024-05-13 23:12:36,116] {imputation.py:357 } : INFO | Missing Indicator Method: ----------- False
[2024-05-13 23:12:36,116] {imputation.py:358 } : INFO | Sample Posterior: ------------------- False
[2024-05-13 23:12:36,116] {imputation.py:359 } : INFO | Imputation order: ------------------- ascending
[2024-05-13 23:12:36,116] {imputation.py:360 } : INFO | Initial imputation strategy: -------- mean
[2024-05-13 23:12:36,116] {imputation.py:361 } : INFO | Max iterations: --------------------- 200
[2024-05-13 23:12:36,116] {imputation.py:362 } : INFO | Tolerance: -------------------------- 0.009
[2024-05-13 23:12:36,116] {imputation.py:363 } : INFO | Num nearest features to consider: --- None
[2024-05-13 23:12:36,116] {imputation.py:364 } : INFO | Starting IterativeImputer Imputation ...
[IterativeImputer] Completing matrix with shape (301, 37)
[IterativeImputer] Ending imputation round 1/200, elapsed time 4.64
[IterativeImputer] Change: 0.699096391911695, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 2/200, elapsed time 9.12
[IterativeImputer] Change: 0.24880799153073951, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 3/200, elapsed time 13.73
[IterativeImputer] Change: 0.15584895985885971, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 4/200, elapsed time 18.23
[IterativeImputer] Change: 0.1794945636468288, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 5/200, elapsed time 23.04
[IterativeImputer] Change: 0.15922787864760224, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 6/200, elapsed time 27.75
[IterativeImputer] Change: 0.13323991317612283, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 7/200, elapsed time 32.50
[IterativeImputer] Change: 0.15703203549315248, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 8/200, elapsed time 37.32
[IterativeImputer] Change: 0.13282906481788892, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 9/200, elapsed time 41.81
[IterativeImputer] Change: 0.12137303957182333, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 10/200, elapsed time 46.43
[IterativeImputer] Change: 0.1327188208757164, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 11/200, elapsed time 51.29
[IterativeImputer] Change: 0.12765879514200584, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 12/200, elapsed time 56.16
[IterativeImputer] Change: 0.13766452336529156, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 13/200, elapsed time 60.95
[IterativeImputer] Change: 0.16041634198418286, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 14/200, elapsed time 65.61
[IterativeImputer] Change: 0.15073869863719658, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 15/200, elapsed time 70.96
[IterativeImputer] Change: 0.1719164512041811, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 16/200, elapsed time 76.06
[IterativeImputer] Change: 0.1734137983401407, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 17/200, elapsed time 81.19
[IterativeImputer] Change: 0.1621191953341814, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 18/200, elapsed time 86.38
[IterativeImputer] Change: 0.1389795541972667, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 19/200, elapsed time 91.47
[IterativeImputer] Change: 0.13540297361275044, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 20/200, elapsed time 96.21
[IterativeImputer] Change: 0.1955681175525843, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 21/200, elapsed time 101.03
[IterativeImputer] Change: 0.17057835994761206, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 22/200, elapsed time 105.82
[IterativeImputer] Change: 0.17784072211303226, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 23/200, elapsed time 110.67
[IterativeImputer] Change: 0.17220939445077832, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 24/200, elapsed time 115.44
[IterativeImputer] Change: 0.21223040875779375, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 25/200, elapsed time 120.25
[IterativeImputer] Change: 0.1347809183373183, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 26/200, elapsed time 125.09
[IterativeImputer] Change: 0.15512600215204309, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 27/200, elapsed time 129.81
[IterativeImputer] Change: 0.1570820313128074, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 28/200, elapsed time 134.56
[IterativeImputer] Change: 0.1694934056895434, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 29/200, elapsed time 139.30
[IterativeImputer] Change: 0.16927240114510944, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 30/200, elapsed time 144.16
[IterativeImputer] Change: 0.1637261321573149, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 31/200, elapsed time 149.01
[IterativeImputer] Change: 0.20783926191535862, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 32/200, elapsed time 153.77
[IterativeImputer] Change: 0.1761031758418543, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 33/200, elapsed time 158.53
[IterativeImputer] Change: 0.16997505501147891, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 34/200, elapsed time 163.30
[IterativeImputer] Change: 0.14636807196425217, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 35/200, elapsed time 168.18
[IterativeImputer] Change: 0.1399633500126889, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 36/200, elapsed time 172.98
[IterativeImputer] Change: 0.16101048646455318, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 37/200, elapsed time 177.72
[IterativeImputer] Change: 0.1350485908290917, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 38/200, elapsed time 182.50
[IterativeImputer] Change: 0.15463811857764043, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 39/200, elapsed time 187.36
[IterativeImputer] Change: 0.14667655578169558, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 40/200, elapsed time 192.18
[IterativeImputer] Change: 0.16281778538905023, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 41/200, elapsed time 197.02
[IterativeImputer] Change: 0.1600193202615383, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 42/200, elapsed time 201.82
[IterativeImputer] Change: 0.156444787654463, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 43/200, elapsed time 206.70
[IterativeImputer] Change: 0.15161855785598277, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 44/200, elapsed time 211.57
[IterativeImputer] Change: 0.1603392349308539, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 45/200, elapsed time 216.30
[IterativeImputer] Change: 0.1738755361254416, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 46/200, elapsed time 221.09
[IterativeImputer] Change: 0.13459069344308006, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 47/200, elapsed time 225.89
[IterativeImputer] Change: 0.18596285760185438, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 48/200, elapsed time 230.69
[IterativeImputer] Change: 0.14354869706305173, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 49/200, elapsed time 235.55
[IterativeImputer] Change: 0.1450185532239594, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 50/200, elapsed time 240.37
[IterativeImputer] Change: 0.17042810331698632, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 51/200, elapsed time 245.14
[IterativeImputer] Change: 0.20035493315177, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 52/200, elapsed time 249.98
[IterativeImputer] Change: 0.17367786991082035, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 53/200, elapsed time 254.84
[IterativeImputer] Change: 0.17032503429559043, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 54/200, elapsed time 259.67
[IterativeImputer] Change: 0.142357680738737, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 55/200, elapsed time 264.59
[IterativeImputer] Change: 0.1418478546595079, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 56/200, elapsed time 269.34
[IterativeImputer] Change: 0.13844279887275412, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 57/200, elapsed time 274.12
[IterativeImputer] Change: 0.15176210908010646, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 58/200, elapsed time 278.86
[IterativeImputer] Change: 0.1714851192594402, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 59/200, elapsed time 283.73
[IterativeImputer] Change: 0.15093208273626324, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 60/200, elapsed time 288.57
[IterativeImputer] Change: 0.13936407519791771, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 61/200, elapsed time 293.29
[IterativeImputer] Change: 0.14539648282190676, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 62/200, elapsed time 298.07
[IterativeImputer] Change: 0.14172393897498559, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 63/200, elapsed time 302.91
[IterativeImputer] Change: 0.14756859673755507, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 64/200, elapsed time 307.66
[IterativeImputer] Change: 0.1293298763154791, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 65/200, elapsed time 312.39
[IterativeImputer] Change: 0.15300996059020378, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 66/200, elapsed time 317.07
[IterativeImputer] Change: 0.17568357221303543, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 67/200, elapsed time 321.87
[IterativeImputer] Change: 0.1580537685990091, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 68/200, elapsed time 326.58
